mudra_name,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_finger_mcp_x,index_finger_mcp_y,index_finger_pip_x,index_finger_pip_y,index_finger_dip_x,index_finger_dip_y,index_finger_tip_x,index_finger_tip_y,middle_finger_mcp_x,middle_finger_mcp_y,middle_finger_pip_x,middle_finger_pip_y,middle_finger_dip_x,middle_finger_dip_y,middle_finger_tip_x,middle_finger_tip_y,ring_finger_mcp_x,ring_finger_mcp_y,ring_finger_pip_x,ring_finger_pip_y,ring_finger_dip_x,ring_finger_dip_y,ring_finger_tip_x,ring_finger_tip_y,pinky_finger_mcp_x,pinky_finger_mcp_y,pinky_finger_pip_x,pinky_finger_pip_y,pinky_finger_dip_x,pinky_finger_dip_y,pinky_finger_tip_x,pinky_finger_tip_y
arala,left,107.9,168.85,125.63,161.92,136.97,140.15,143.92,120.25,141.37,103.88,128.49,118.24,133.33,103.59,131.37,116.67,127.2,129.31,118.71,113.73,121.09,88.26,120.68,70.23,119.97,52.6,108.18,114.52,108.56,89.41,109.72,72.54,110.82,57.02,96.98,119.84,97.5,100.57,98.45,87.16,99.68,74.59
arala,left,107.9,168.85,125.63,161.92,136.97,140.15,143.92,120.25,141.37,103.88,128.49,118.24,133.33,103.59,131.37,116.67,127.2,129.31,118.71,113.73,121.09,88.26,120.68,70.23,119.97,52.6,108.18,114.52,108.56,89.41,109.72,72.54,110.82,57.02,96.98,119.84,97.5,100.57,98.45,87.16,99.68,74.59
arala,left,96.39,175.71,116.39,168.32,129.44,145.92,136.57,124.59,134.49,108.53,121.02,124.46,124.52,103.47,118.86,103.57,112.03,104.75,111.08,120.19,114.52,94.92,115.1,77.94,115.13,63.02,101.08,120.57,103.44,95.85,106.21,79.38,107.93,65.16,90.27,124.27,92.27,104.8,94.16,92.21,96.04,80.46
arala,left,104.88,170.79,124.24,161.94,135.89,139.52,143,120.11,137.74,106.17,125.01,118.59,129.23,104.69,129.21,116.18,126.71,127.96,114.99,114.23,115.78,89.7,114.68,73.51,112.82,58.58,104.48,114.99,104.52,91.18,105.28,74.96,105.1,60.55,93.36,119.61,93.44,100.3,93.37,87.34,93.44,75.33
arala,left,110.89,158.75,130.12,147.19,138.94,124.96,143.52,104.21,149.65,88.38,130.66,104.93,134.4,86.51,132.51,96.08,129.07,106.51,120.68,101.68,122.95,76.56,122.25,59.96,121.48,44.4,110.69,103.48,111.61,79.4,112.56,63.21,113.8,48.48,100.14,109.03,100.38,90.04,101.53,77.43,103.25,65.2
arala,left,110.55,158.81,129.84,147.72,139.03,125.3,143.44,104.52,149.59,88.55,130.88,105.38,134.85,86.67,132.97,95.43,129.74,105.59,120.99,101.94,123.3,76.83,122.36,59.9,121.28,44.23,110.89,103.55,111.91,79.38,112.63,63.01,113.67,48.24,100.07,108.87,100.5,89.84,101.6,77.17,103.34,64.94
arala,left,104.88,170.79,124.24,161.94,135.89,139.52,143,120.11,137.74,106.17,125.01,118.59,129.23,104.69,129.21,116.18,126.71,127.96,114.99,114.23,115.78,89.7,114.68,73.51,112.82,58.58,104.48,114.99,104.52,91.18,105.28,74.96,105.1,60.55,93.36,119.61,93.44,100.3,93.37,87.34,93.44,75.33
arala,left,105.17,170.51,124.17,162.68,135.69,139.65,142.62,120.03,138,106,124.66,118.58,129.32,104.96,129.36,116.96,126.56,129.14,114.83,114.19,115.5,90.2,114.16,74.02,112.07,58.96,104.46,114.91,104.22,91.3,104.95,75.1,104.77,60.66,93.56,119.36,93.38,100.27,93.24,87.27,93.41,75.18
arala,left,105.17,170.51,124.17,162.68,135.69,139.65,142.62,120.03,138,106,124.66,118.58,129.32,104.96,129.36,116.96,126.56,129.14,114.83,114.19,115.5,90.2,114.16,74.02,112.07,58.96,104.46,114.91,104.22,91.3,104.95,75.1,104.77,60.66,93.56,119.36,93.38,100.27,93.24,87.27,93.41,75.18
arala,left,105.69,170.51,124.8,162.37,136.33,139.41,143.21,119.97,138.13,106.36,124.99,118.45,129.92,104.99,129.89,116.98,127.04,129.14,114.96,114.05,115.58,90.15,114.39,74.02,112.57,59.22,104.42,114.84,104.09,91.21,104.85,75.12,104.85,60.8,93.52,119.43,93.25,100.44,93.13,87.54,93.43,75.49
arala,left,106.11,169.55,125.24,161.95,136.74,139.37,143.65,119.96,138.83,106.26,125.6,118.6,130.36,105,130.36,116.32,127.74,128.16,115.73,114.09,116.23,90.06,115.14,73.97,113.31,59.17,105.23,114.68,104.62,91.08,105.5,74.92,105.61,60.55,94.3,119.14,93.56,100.15,93.48,87.34,93.91,75.38
arala,left,108.02,170.27,126.97,161.65,138.94,139.56,146.49,120.09,140.97,106.01,128.84,117.77,133.01,103.52,132.11,115.36,128.73,127.13,118.85,113.28,119.84,89.09,118.7,73.07,116.9,58.45,108.12,113.86,108.78,90.06,109.8,73.72,110,59.38,96.65,118.39,97.15,99.21,97.7,86.21,98.52,74.17
arala,left,108.02,170.27,126.97,161.65,138.94,139.56,146.49,120.09,140.97,106.01,128.84,117.77,133.01,103.52,132.11,115.36,128.73,127.13,118.85,113.28,119.84,89.09,118.7,73.07,116.9,58.45,108.12,113.86,108.78,90.06,109.8,73.72,110,59.38,96.65,118.39,97.15,99.21,97.7,86.21,98.52,74.17
arala,left,109.18,168.68,128.36,161.37,141.1,140.18,149.33,121.12,143.51,107.38,131.13,117.29,135.87,104.58,134.34,116.92,129.98,129.02,121.2,112.19,122.54,87.8,121.74,71.58,120.41,56.55,110.52,112.51,111,88.92,112.06,72.43,112.57,57.74,99,117.07,99.67,97.98,100.23,85.02,101,72.96
arala,left,109.18,168.68,128.36,161.37,141.1,140.18,149.33,121.12,143.51,107.38,131.13,117.29,135.87,104.58,134.34,116.92,129.98,129.02,121.2,112.19,122.54,87.8,121.74,71.58,120.41,56.55,110.52,112.51,111,88.92,112.06,72.43,112.57,57.74,99,117.07,99.67,97.98,100.23,85.02,101,72.96
arala,left,95.77,176.37,116.21,169.09,129.25,146.24,136.4,125.03,134.39,109.02,121.2,124.48,126.34,106.05,121.61,116.09,114.66,126.07,111.24,120.09,115.09,95.04,116.02,79.19,116.18,64.84,100.98,120.43,103.72,96.01,106.53,79.9,108.24,65.57,90.01,124.34,92.2,104.98,94.41,92.44,96.45,80.61
arala,left,110.31,169.49,128.72,161.24,141.19,140.58,149.45,122.19,143.7,108.53,132.64,117.71,136.51,105.23,134.28,117.22,129.27,129.05,122.74,112.61,124.16,87.78,123.27,71.11,121.61,55.75,112.04,112.8,112.57,88.87,113.23,72.25,113.41,57.33,100.32,117.21,100.83,97.91,101.6,85.08,102.57,73.06
